15	1	6	6	3	3	1.33333333333333	-99	-99	-99	0	0	0	-99	-99	-99	-99	1	1	3	0	0	0	-99
1	0	6	6	1.75	1.66666666666667	3	2.66666666666667	2.66666666666667	2.5	0	0	0	0.5	0.333333333333333	0.75	0.225548902195609	8	6	2	6	3	4	3
12	1	4	4	2.5	1	1	2.33333333333333	2.5	2	0	0	0	0	0	0	-0.774451097804391	2	2	2	3	2	2	3
10	1	3	4	1.5	1	1	-99	-99	-99	0	0	0	-99	-99	-99	-99	2	1	2	0	0	0	-99
16	1	5	5	2.25	2	3	3	1.75	2.33333333333333	0	0	0	0	0	0	0.225548902195609	4	4	1	1	4	3	3
16	1	5	5	2	2.5	2.25	1.33333333333333	1	2.5	0	0	0	0	0	0	0.225548902195609	4	2	4	6	3	2	3
20	1	3	3	0.5	1	-99	1	1.33333333333333	1	0	0	-99	0	0.333333333333333	0	0.225548902195609	2	3	0	1	3	2	0
14	0	2	2	2	2	3	1.42857142857143	1	1.75	0	0	0	0.571428571428571	0	0	0.225548902195609	5	3	2	7	4	4	2
11	0	1	2	3	3	3	2.5	2	3	0	0	0	0	0.25	0	0.225548902195609	4	2	2	4	4	2	0
17	1	5	6	2.5	1	1	2	1	1	0	0	0	0	0.333333333333333	0	-0.774451097804391	2	1	1	1	3	2	0
16	1	5	5	3	2.5	2.5	3	2.16666666666667	1.75	0	0	0	0	0.166666666666667	0	0.225548902195609	1	2	2	1	6	4	3
7	1	6	6	2.4	1.625	2.25	2.5	1.8	3	0	0	0	1	0.6	1	0.225548902195609	5	8	4	2	5	1	0
11	0	1	2	1	1.5	1	-99	-99	-99	0	0	0	-99	-99	-99	-99	1	2	3	0	0	0	-99
17	1	5	6	2	3	1.66666666666667	2.5	1.5	2	0	0	0	0	0	0	-0.774451097804391	2	1	3	2	2	1	0
5	0	2	3	3	-99	-99	1.16666666666667	1	1	0	-99	-99	0.5	0.75	1	0.225548902195609	1	0	0	6	4	1	2
15	1	6	6	0.5	1	0.75	1.25	1	1	0	0	0	0	0	0	0.225548902195609	2	2	4	4	3	2	0
4	1	2	2	1.66666666666667	1.6	1.33333333333333	3	2	1	0	0	0	0	0.5	0	0.225548902195609	3	5	3	1	2	6	0
14	0	2	2	1.85714285714286	1.33333333333333	2	1.75	2	1.66666666666667	0.142857142857143	0	0	0	0.2	0	0.225548902195609	7	3	4	4	5	3	0
9	0	4	2	3	1.5	3	2	3	2.5	0	0	0	0	0	0	-0.774451097804391	1	4	2	1	1	4	3
10	1	3	4	2	3	1.33333333333333	3	2	-99	0	0	0	0	0	-99	-0.774451097804391	3	1	3	1	1	0	2
5	0	2	3	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	0	0	0	0	0	0	-99
3	1	6	6	2	2	2	3	3	3	0	0	0	1	1	0	0.225548902195609	1	1	2	1	1	1	1
17	1	5	6	1.85714285714286	1.66666666666667	1.66666666666667	-99	-99	-99	0	0	0	-99	-99	-99	-99	7	3	3	0	0	0	-99
5	0	2	3	1	3	2	-99	-99	-99	0	0	0	-99	-99	-99	-99	1	1	1	0	0	0	-99
10	1	3	4	1.5	1.5	1	1.5	1	1.25	0	0	0	0	0	0	0.225548902195609	4	4	4	2	2	4	0
10	1	3	4	1	1	1	-99	-99	-99	0	0	0	-99	-99	-99	-99	2	1	1	0	0	0	-99
20	1	3	3	1.44444444444444	1.5	1.33333333333333	2.33333333333333	2	3	0	0	0	0	0	0	0.225548902195609	9	2	3	6	3	1	0
