19	0	6	5	0	0	0	0.25	0	0	3	1.75	2	2.16666666666667	4	1	1	76.75	316	72
9	0	2	4	0	0	0	0.4	0.25	0.5	1	2.75	2	2.5	5	4	2	165.6	136.75	176
19	0	6	5	0	1	0	0	0	0	0	2.5	1	2.5	1	1	3	716	673	228
17	1	6	5	-99	0	0	-99	0	0	1	3.25	2	2.66666666666667	0	4	4	-99	141.75	106.5
20	1	3	3	0	0	0	0	0	0	0	3	2	2.66666666666667	5	5	2	116.6	196.2	216
10	1	4	3	0	0	0	0	0	0	0	2.25	2	2.5	1	1	1	334	245	229
4	1	2	2	0	0	0	0	0	0	3	3	2	2.66666666666667	1	3	1	79	116.666666666667	65
20	1	3	3	0	0	0	0	0	0	0	2.5	2	2.33333333333333	5	8	6	391	294.375	165
7	1	6	6	0	0	0	1	0.5	0	3	2.75	2	3.5	1	2	3	773	311.5	403.5
11	0	2	1	0	0	0	0	0	0	0	2.25	2	2.66666666666667	3	3	3	183	164.333333333333	125
12	1	4	4	0	0	0	0	0	0	2	2.25	2	2.5	1	3	2	1275	266.333333333333	324
17	1	6	5	-99	0	-99	0	0	0	1	2.5	1	2.5	3	3	1	144.666666666667	82	176
12	1	4	4	0	0	0	0	-99	-99	0	3	2	2.66666666666667	3	0	0	68	-99	-99
4	1	2	2	0	0	0	0	0	0	2	3.25	1	2.66666666666667	1	1	1	650	447	489
12	1	4	4	0	0	0	0	0	0	1	2.75	1	1.66666666666667	2	2	1	516.5	602	631
16	1	5	5	0	0	0	0	0	0	3	2.75	1	2.33333333333333	1	3	1	691	190.666666666667	468
16	1	5	5	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
17	1	6	5	-99	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
18	1	6	5	0.5	0	0.25	0.5	0.666666666666667	1	3	3	2	2.83333333333333	4	3	1	332	340	599
6	0	3	2	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
10	1	4	3	0	0	0	-99	0	0.333333333333333	1	3	2	2.16666666666667	0	4	3	-99	125	198
4	1	2	2	0	0	-99	0	0	0	2	3.25	2	3	1	2	1	435	223	456
2	0	6	6	0	0	0	1	1	1	0	2.25	2	2.83333333333333	1	1	2	1056	1191	517
14	0	2	2	0	0	0	0	0	0	2	2.25	2	2.33333333333333	3	5	1	506	392.4	476
6	0	3	2	0	0	0	-99	0	0	2	2.75	1	3	0	10	4	-99	124.9	156.5
20	1	3	3	0	-99	-99	0	-99	-99	3	4	1	2.66666666666667	3	0	0	513.666666666667	-99	-99
13	0	6	6	0	0	0	0	0.25	0	2	2.75	2	1.33333333333333	3	4	2	131.666666666667	62.75	61
7	1	6	6	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
21	0	4	2	0	0	0	0	0	0	0	2.25	2	2.33333333333333	1	4	3	1050	192.75	215.333333333333
21	0	4	2	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
7	1	6	6	0	0	0	1	1	1	1	3	2	2.83333333333333	1	1	1	869	924	796
16	1	5	5	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
5	0	3	2	0	0	0	0	0	0	2	3.75	2	3.66666666666667	4	3	2	164.5	218	212
6	0	3	2	0	0	0	0	0.333333333333333	0	0	3	2	3	2	3	3	263.5	184.333333333333	149.333333333333
5	0	3	2	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
2	0	6	6	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
13	0	6	6	0	0	0	-99	-99	-99	0	2.5	2	2.5	0	0	0	-99	-99	-99
19	0	6	5	0	0	0	-99	0	-99	2	3.25	2	2.83333333333333	0	1	0	-99	152	-99
3	1	6	6	0	0	0	1	0.5	1	0	2	2	2.33333333333333	3	4	2	429	360.5	280.5
3	1	6	6	0	0	0	-99	-99	-99	0	-99	0	-99	0	0	0	-99	-99	-99
21	0	4	2	0	0	0	0	0	0	0	2.25	2	2.33333333333333	5	4	1	363.2	439.75	1014
20	1	3	3	0	0	0	0	0	0	1	2.5	1	2.83333333333333	1	2	1	585	211.5	299
16	1	5	5	0	0	-99	0	-99	0	1	3	1	2.66666666666667	1	0	1	344	-99	490
15	1	6	6	0	0	0	0	0.333333333333333	-99	0	2.5	2	2	2	3	0	50.5	64.3333333333333	-99
10	1	4	3	0	0	0	0	0	0	2	1.5	2	2	2	3	1	346.5	253.333333333333	565
5	0	3	2	0	0	0	0	0.5	0	2	3.5	2	2.33333333333333	3	4	3	275	296.5	298
10	1	4	3	0	0	0	0	0	0	0	2	2	2.5	2	1	1	496	993	704
19	0	6	5	0	-99	-99	0	-99	-99	0	2.25	2	2.16666666666667	1	0	0	1332	-99	-99
21	0	4	2	0	0	0	0	0	0	0	2.75	2	3.5	1	1	1	955	422	461
10	1	4	3	0	0	0	0	0	0	3	2.75	2	3	2	2	5	710	516.5	260
4	1	2	2	0	0.142857142857143	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
9	0	2	4	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
