21	0	4	2	3	3	3	-99	-99	-99
7	1	6	6	2	3	1.66666666666667	3	3	3
16	1	5	5	2.66666666666667	1	1	-99	-99	-99
5	0	3	2	1.66666666666667	1	1	1.75	2	2
6	0	3	2	3	2	1	2	1	1
5	0	3	2	1	2	1	-99	-99	-99
2	0	6	6	1.16666666666667	1	1.33333333333333	-99	-99	-99
13	0	6	6	1	1	1	-99	-99	-99
19	0	6	5	2	3	1	-99	2	-99
3	1	6	6	1.42857142857143	1.5	3	2.66666666666667	2.75	3
3	1	6	6	2	2	3	-99	-99	-99
21	0	4	2	2	2	1.66666666666667	2.4	2.75	3
20	1	3	3	2	1	1.25	2	3	3
16	1	5	5	3	3	-99	2	-99	3
15	1	6	6	2.4	1.6	1.8	1	1.33333333333333	-99
10	1	4	3	2	1.5	1	2	1.66666666666667	2
5	0	3	2	2.75	3	3	1.66666666666667	2	2.33333333333333
10	1	4	3	2.66666666666667	1.5	2.5	2.5	3	3
19	0	6	5	2.33333333333333	-99	-99	3	-99	-99
21	0	4	2	3	2	1	3	3	3
10	1	4	3	3	2.33333333333333	2.5	2.5	1.5	2
4	1	2	2	3	2.85714285714286	2.75	-99	-99	-99
9	0	2	4	2.6	1.75	2.66666666666667	-99	-99	-99
14	0	2	2	1.75	1	1	1	1.33333333333333	1.66666666666667
16	1	5	5	2	1.5	3	3	3	-99
11	0	2	1	1.54545454545455	-99	1.66666666666667	3	2	3
17	1	6	5	3	3	3	-99	-99	-99
10	1	4	3	1	1	-99	-99	-99	-99
14	0	2	2	2.5	2.5	2.57142857142857	1.5	1	1
18	1	6	5	3	3	3	3	3	3
14	0	2	2	3	1	-99	-99	-99	-99
12	1	4	4	2	3	1.75	-99	-99	-99
3	1	6	6	2	1.5	2	3	3	2
4	1	2	2	2.5	2	2.66666666666667	-99	-99	-99
8	1	6	6	1	1.33333333333333	1	3	2	1
16	1	5	5	3	2.5	2.16666666666667	2	1.6	1.66666666666667
11	0	2	1	1.66666666666667	1.33333333333333	1	-99	1.5	2
11	0	2	1	2	2	1	2	1	2
9	0	2	4	2.28571428571429	1	1.75	2	1.33333333333333	2
15	1	6	6	1.75	1.33333333333333	1.4	2	1.83333333333333	2
15	1	6	6	2	2.33333333333333	2	2	2.2	1
9	0	2	4	2.5	1.83333333333333	2.2	2	1.83333333333333	2.28571428571429
4	1	2	2	3	3	2	2.33333333333333	2.5	1.66666666666667
18	1	6	5	2.33333333333333	1.5	1.75	3	-99	1.75
1	0	6	6	1	1	1	-99	1.33333333333333	1.66666666666667
11	0	2	1	3	2	1.5	3	3	2.5
17	1	6	5	2.66666666666667	3	2	2.5	-99	3
20	1	3	3	2	1.4	1.4	3	1.53846153846154	1.66666666666667
3	1	6	6	2.5	1.66666666666667	1.2	1	1.66666666666667	2
1	0	6	6	3	2.5	2	1	1	1
3	1	6	6	3	2	-99	3	2	2
19	0	6	5	2	1	1	-99	-99	-99
19	0	6	5	3	3	3	2.66666666666667	2.5	3
15	1	6	6	2.5	2	1.5	-99	1	1
3	1	6	6	1.83333333333333	1.11111111111111	1	1	1	1
6	0	3	2	3	3	3	1.5	1	2
1	0	6	6	2.4	1.75	2.2	3	1	3
3	1	6	6	2.66666666666667	1.66666666666667	1	3	-99	3
15	1	6	6	2.66666666666667	2	3	-99	-99	-99
21	0	4	2	2	1	-99	-99	-99	-99
15	1	6	6	1.25	1	1.33333333333333	2.33333333333333	1	3
9	0	2	4	1	-99	1	2.66666666666667	2	2.5
12	1	4	4	2	2.33333333333333	1.66666666666667	3	2	3
19	0	6	5	2.83333333333333	1.625	1.5	-99	-99	-99
13	0	6	6	2.125	1	1	2.5	1	1
18	1	6	5	2	1.4	-99	-99	-99	-99
13	0	6	6	2.125	1.66666666666667	1.5	-99	-99	-99
4	1	2	2	2	-99	-99	1.75	1	1.33333333333333
8	1	6	6	2.33333333333333	3	2	2.2	2.71428571428571	1.33333333333333
9	0	2	4	1.66666666666667	-99	-99	3	-99	-99
12	1	4	4	1.75	3	3	-99	-99	-99
10	1	4	3	2	2.33333333333333	1.8	-99	-99	-99
